datetime,open,high,low,close,volume
2018-01-01 14:30:00,41.53,41.55,41.525,41.54,11790
2018-01-01 14:31:00,41.53,41.54,41.53,41.535,2878
2018-01-01 14:32:00,41.54,41.54,41.53,41.535,1302
2018-01-01 14:33:00,41.54,41.56,41.535,41.55,9026
2018-01-01 14:34:00,41.55,41.56,41.54,41.55,3350
2018-01-01 14:35:00,41.55,41.56,41.55,41.55,2755
2018-01-01 14:36:00,41.55,41.58,41.55,41.58,17383
2018-01-01 14:37:00,41.58,41.59,41.575,41.585,1859
2018-01-01 14:38:00,41.59,41.59,41.57,41.58,3043
2018-01-01 14:39:00,41.57,41.58,41.57,41.58,1342
2018-01-01 14:40:00,41.58,41.59,41.575,41.58,3827
2018-01-01 14:41:00,41.59,41.59,41.55,41.58,6026
2018-01-01 14:42:00,41.5566,41.56,41.55,41.55,970
2018-01-01 14:43:00,41.56,41.56,41.55,41.551,1240
2018-01-01 14:44:00,41.56,41.56,41.48,41.48,14232
2018-01-01 14:45:00,41.48,41.49,41.48,41.49,653
2018-01-01 14:46:00,41.485,41.49,41.48,41.48,6376
2018-01-01 14:47:00,41.485,41.49,41.45,41.45,7665
2018-01-01 14:48:00,41.46,41.46,41.42,41.43,10855
2018-01-01 14:49:00,41.4338,41.44,41.42,41.421,2877
2018-01-01 14:50:00,41.421,41.43,41.4,41.41,11778
2018-01-01 14:51:00,41.4115,41.43,41.4115,41.43,4876
2018-01-01 14:52:00,41.43,41.44,41.43,41.44,2872
2018-01-01 14:53:00,41.44,41.44,41.4263,41.44,2261
2018-01-01 14:54:00,41.44,41.45,41.44,41.45,2229
2018-01-01 14:55:00,41.44,41.45,41.43,41.43,4728
2018-01-01 14:56:00,41.435,41.44,41.41,41.41,1714
2018-01-01 14:57:00,41.42,41.45,41.42,41.43,5539
2018-01-01 14:58:00,41.44,41.45,41.42,41.42,2966
2018-01-01 14:59:00,41.43,41.43,41.41,41.42,21124
2018-01-01 15:00:00,41.4,41.42,41.4,41.42,7031
2018-01-01 15:01:00,41.42,41.445,41.42,41.44,6169
2018-01-01 15:02:00,41.44,41.46,41.43,41.46,2618
2018-01-01 15:03:00,41.46,41.48,41.45,41.46,6087
2018-01-01 15:04:00,41.47,41.48,41.47,41.48,5956
2018-01-01 15:05:00,41.48,41.49,41.47,41.47,5472
2018-01-01 15:06:00,41.47,41.47,41.46,41.47,515
2018-01-01 15:07:00,41.465,41.49,41.46,41.47,7847
2018-01-01 15:08:00,41.46,41.48,41.46,41.48,6798
2018-01-01 15:09:00,41.48,41.5,41.48,41.48,2697
2018-01-01 15:10:00,41.457,41.5,41.457,41.5,5638
2018-01-01 15:11:00,41.4935,41.51,41.49,41.5057,4981
2018-01-01 15:12:00,41.51,41.51,41.5,41.5,5500
2018-01-01 15:13:00,41.491,41.491,41.48,41.48,2800
2018-01-01 15:14:00,41.475,41.48,41.46,41.46,3500
2018-01-01 15:15:00,41.46,41.47,41.43,41.44,16842
2018-01-01 15:16:00,41.44,41.45,41.41,41.42,11171
2018-01-01 15:17:00,41.42,41.43,41.4,41.41,2909
2018-01-01 15:18:00,41.41,41.44,41.41,41.42,5327
2018-01-01 15:19:00,41.42,41.42,41.4,41.42,7661
2018-01-01 15:20:00,41.41,41.42,41.41,41.42,4596
2018-01-01 15:21:00,41.41,41.42,41.4,41.405,3407
2018-01-01 15:22:00,41.4,41.41,41.37,41.37,6874
2018-01-01 15:23:00,41.371,41.38,41.35,41.35,20647
2018-01-01 15:24:00,41.35,41.36,41.35,41.35,5540
2018-01-01 15:25:00,41.35,41.36,41.35,41.35,7037
2018-01-01 15:26:00,41.35,41.36,41.35,41.35,2765
2018-01-01 15:27:00,41.35,41.37,41.35,41.37,17196
2018-01-01 15:28:00,41.365,41.37,41.36,41.36,6432
2018-01-01 15:29:00,41.36,41.36,41.35,41.36,5416
2018-01-01 15:30:00,41.36,41.36,41.35,41.35,22769
2018-01-01 15:31:00,41.35,41.36,41.35,41.355,5844
2018-01-01 15:32:00,41.355,41.36,41.35,41.35,2292
2018-01-01 15:33:00,41.35,41.38,41.35,41.38,17838
2018-01-01 15:34:00,41.3756,41.38,41.37,41.38,6536
2018-01-01 15:35:00,41.37,41.37,41.35,41.37,10775
2018-01-01 15:36:00,41.35,41.36,41.35,41.355,3828
2018-01-01 15:37:00,41.36,41.37,41.35,41.36,12464
2018-01-01 15:38:00,41.36,41.37,41.35,41.37,8324
2018-01-01 15:39:00,41.36,41.37,41.36,41.37,5900
2018-01-01 15:40:00,41.365,41.365,41.33,41.33,25893
2018-01-01 15:41:00,41.335,41.35,41.33,41.35,32417
2018-01-01 15:42:00,41.35,41.35,41.34,41.35,4799
2018-01-01 15:43:00,41.35,41.41,41.345,41.41,22054
2018-01-01 15:44:00,41.4099,41.43,41.4,41.4,19072
2018-01-01 15:45:00,41.41,41.44,41.4,41.44,25427
2018-01-01 15:46:00,41.44,41.46,41.43,41.45,14049
2018-01-01 15:47:00,41.455,41.47,41.45,41.47,13306
2018-01-01 15:48:00,41.4601,41.47,41.425,41.45,29422
2018-01-01 15:49:00,41.43,41.45,41.42,41.43,13454
2018-01-01 15:50:00,41.43,41.45,41.42,41.45,14239
2018-01-01 15:51:00,41.45,41.49,41.45,41.46,21742
2018-01-01 15:52:00,41.45,41.45,41.44,41.45,3895
2018-01-01 15:53:00,41.45,41.45,41.38,41.4,19558
2018-01-01 15:54:00,41.4,41.4,41.35,41.37,24489
2018-01-01 15:55:00,41.37,41.39,41.29,41.31,67877
2018-01-01 15:56:00,41.305,41.35,41.305,41.33,47627
2018-01-01 15:57:00,41.33,41.36,41.31,41.31,62642
2018-01-01 15:58:00,41.32,41.33,41.27,41.27,78727
2018-01-01 15:59:00,41.28,41.3,41.21,41.23,126848
